x_value,total_1,total_2
0,1000,1000
1,998,1004
2,999,1007
3,1005,1004
4,1004,999
5,1001,998
6,995,1003
7,999,999
8,1003,997
9,997,997
10,999,1002
11,994,1008
12,1000,1011
13,998,1011
14,992,1016
15,997,1020
16,998,1019
17,996,1025
18,1001,1027
19,1002,1032
20,998,1028
21,999,1028
22,1004,1028
23,1000,1031
24,1006,1037
25,1010,1032
26,1018,1027
27,1026,1022
28,1032,1024
29,1030,1019
30,1031,1023
31,1035,1029
32,1032,1025
33,1033,1021
34,1028,1017
35,1035,1015
36,1032,1015
37,1028,1013
38,1033,1015
39,1029,1015
40,1032,1020
41,1026,1019
42,1034,1019
43,1035,1021
44,1034,1026
45,1041,1031
46,1045,1033
47,1052,1028
48,1059,1030
49,1064,1027
50,1064,1029
51,1065,1035
52,1070,1035
53,1064,1039
54,1070,1045
55,1070,1041
56,1065,1043
57,1069,1048
58,1064,1049
59,1060,1046
60,1067,1041
